"Date","Name","Nationality","Cause of death","Mountain"
"1999-10-05","David Bridges","United States","Avalanche","Shishapangma"
"1998-05-21","Andreino Pasini","Italy","Illness","Shishapangma"
"1996-10-05","Viktor Pastukh","Ukraine","Avalanche","Shishapangma"
"1996-10-05","Gennadi Vasilenko","Ukraine","Avalanche","Shishapangma"
"1996-05-19","Ming-Tse Kuo","Taiwan","Fall","Shishapangma"
"1996-05-01","Stefan Sluka","Slovakia","Disappeared on descent","Shishapangma"
"1994-10-01","Zdenek Slachta","Czech Republic","Avalanche","Shishapangma"
"1994-09-18","Tod Gassen","United States","Fall in crevasse","Shishapangma"
"1993-09-29","Bueoung-tae Park","South Korea","Fall","Shishapangma"
"1991-09-20","Hidekazu Gomi","Japan","Avalanche","Shishapangma"
"1991-09-20","Tetsuichi Miyashita","Japan","Avalanche","Shishapangma"
"1991-05-22","Werner Braun","Germany","Disappearance (probably avalanche)","Shishapangma"
"1991-05-22","Werner Meichsner","Germany","Disappearance (probably avalanche)","Shishapangma"
"1991-05-22","Günther Semmler","Germany","Disappearance (probably avalanche)","Shishapangma"
"1991-05-22","Karl-Heinz Thiele","Germany","Disappearance (probably avalanche)","Shishapangma"
"1990-10-15","Joan Martinez","Spain","Exposure","Shishapangma"
"1989-10-04","Luca Leonardi","Switzerland","Avalanche","Shishapangma"
"1983-04-28","Fritz Luchsinger","Switzerland","Altitude sickness","Shishapangma"
"1921-06-05","Alexander Mitchell Kellas","United Kingdom","Heart attack","Mount Everest"
"1921-06-05","Unknown porter","","","Mount Everest"
"1922-06-07","Dorje","Nepal","Avalanche","Mount Everest"
"1922-06-07","Lhakpa","Nepal","Avalanche","Mount Everest"
"1922-06-07","Norbu","Nepal","Avalanche","Mount Everest"
"1922-06-07","Pasang","Nepal","Avalanche","Mount Everest"
"1922-06-07","Pema","Nepal","Avalanche","Mount Everest"
"1922-06-07","Sange","Nepal","Avalanche","Mount Everest"
"1922-06-07","Temba","Nepal","Avalanche","Mount Everest"
"1924-05-13","Man Bahadur","Nepal","Pneumonia","Mount Everest"
"1924-05-17","Lance-Naik Shamsherpun","Nepal","Brain hemorrhage","Mount Everest"
"1924-06-09","Andrew Irvine","United Kingdom","Unknown.","Mount Everest"
"1924-06-09","George Mallory","United Kingdom","Possible ice axe injury following a fall.","Mount Everest"
"1934-05-31","Maurice Wilson","United Kingdom","Possible exhaustion, exposure or starvation.","Mount Everest"
"1952-10-31","Dorje Mingma","Nepal","Falling ice","Mount Everest"
"1960-04-11","Wang Ji","China","Mountain sickness","Mount Everest"
"1960-04-29","Shao Shi-Ching [note 3]","China","","Mount Everest"
"1962-04-28","Nawang Tshering","Nepal","","Mount Everest"
"1963-03-23","Jake Breitenbach","United States","Crushed under serac","Mount Everest"
"1966-05-01","Ma Gao-shu","China","Fall","Mount Everest"
"1969-10-18","Phu Dorjee Sherpa","Nepal","Fall into a crevasse","Mount Everest"
"1970-04-05","Nima Dorje","Nepal","Avalanche","Mount Everest"
"1970-04-05","Kunga Norbu","Nepal","Avalanche","Mount Everest"
"1970-04-05","Mima Norbu","Nepal","Avalanche","Mount Everest"
"1970-04-05","Pasang","Nepal","Avalanche","Mount Everest"
"1970-04-05","Kami Tshering","Nepal","Avalanche","Mount Everest"
"1970-04-09","Kyak Tsering","Nepal","""by fall of seracs""","Mount Everest"
"1970-04-21","Kiyoshi Narita","Japan","Heart attack","Mount Everest"
"1971-04-18","Harsh Vardhan","India","Succumbed after falling and being suspended above a crevasse during a blizzard","Mount Everest"
"1972-11-16","Tony Tighe","Australia","Crushed under serac","Mount Everest"
"1973-10-12","Jangbu","Nepal","Avalanche","Mount Everest"
"1974-09-09","Gérard Devouassoux","France","Avalanche","Mount Everest"
"1974-09-09","Pemba Dorje","Nepal","Avalanche","Mount Everest"
"1974-09-09","Lhakpa","Nepal","Avalanche","Mount Everest"
"1974-09-09","Nawang Lutuk","Nepal","Avalanche","Mount Everest"
"1974-09-09","Nima Wangchu","Nepal","Avalanche","Mount Everest"
"1974-09-09","Sanu Wongal","Nepal","Avalanche","Mount Everest"
"1975-05-04","Wu Zhuong Yue [note 4]","China","Exhaustion, fall","Mount Everest"
"1975-08-01","Mingma ; deaf-mute Sherpa porter","Nepal","Drowned","Mount Everest"
"1975-09-26","Mick Burke","United Kingdom","Disappearance (likely accidental death during climb)","Mount Everest"
"1976-04-10","Terry Thompson","United Kingdom","Fall into a crevasse","Mount Everest"
"1978-04-18","Dawa Nuru","Nepal","Fall into a crevasse","Mount Everest"
"1978-04-18","Shi Ming-ji","China","Fall into a crevasse","Mount Everest"
"1979-05-16","Ang Phu","Nepal","Fall","Mount Everest"
"1979-10-02","Ray Genet","United States","Exposure, exhaustion","Mount Everest"
"1979-10-02","Hannelore Schmatz","West Germany","Exposure, exhaustion","Mount Everest"
"1979-10-12","Wang Hong-bao","China","Avalanche","Mount Everest"
"1979-10-12","Lou Lan [note 5]","China","Avalanche","Mount Everest"
"1979-10-12","Nima Thaxi [note 6]","China","Avalanche","Mount Everest"
"1980-05-02","Akira Ube","Japan","Avalanche","Mount Everest"
"1980-09-06","Nawang Kersang","Nepal","Fall","Mount Everest"
"1980-09-22","Mario Piana","Italy","Crushed under serac","Mount Everest"
"1981-01-12","Noboru Takenaka","Japan","Fall","Mount Everest"
"1982-05-15","Marty Hoey","United States","Fall","Mount Everest"
"1982-05-17","Peter Boardman","United Kingdom","Disappearance (likely accidental death during climb)","Mount Everest"
"1982-05-17","Joe Tasker","United Kingdom","Disappearance (likely accidental death during climb)","Mount Everest"
"1982-08-31","Ang Chuldim","Nepal","Avalanche","Mount Everest"
"1982-08-31","Dawa Dorje","Nepal","Avalanche","Mount Everest"
"1982-08-31","Pasang Sona","Nepal","Avalanche","Mount Everest"
"1982-09-02","Blair Griffiths","Canada","Crushed under serac","Mount Everest"
"1982-09-27","Lhakpa Tshering","Nepal","Internal hemorrhage","Mount Everest"
"1982-10-14","Nima Dorje","Nepal","Fall","Mount Everest"
"1982-12-28","Yasuo Kato","Japan","Disappearance (likely accidental death during climb)","Mount Everest"
"1982-12-28","Toshiaki Kobayashi","Japan","Disappearance (likely accidental death during climb)","Mount Everest"
"1983-10-08","Hironobu Kamuro","Japan","Fall","Mount Everest"
"1983-10-08","Pasang Temba","Nepal","Fall","Mount Everest"
"1983-10-09","Hiroshi Yoshino","Japan","Fall","Mount Everest"
"1984-03-26","Ang Rinji","Nepal","Avalanche","Mount Everest"
"1984-04-03","Tony Swierzy","United Kingdom","Avalanche","Mount Everest"
"1984-04-21","Hristo Ivanov Prodanov","Bulgaria","Disappearance (likely accidental death during descent)","Mount Everest"
"1984-10-09","William (Fred) From","Australia","Fall, while searching for Craig Nottle","Mount Everest"
"1984-10-09","Craig Nottle","Australia","Fall","Mount Everest"
"1984-10-16","Jozef Psotka","Czechoslovakia","Fall","Mount Everest"
"1984-10-24","Ang Dorje","Nepal","Fall","Mount Everest"
"1984-10-24","Yogendra Bahadur Thapa","Nepal","Fall","Mount Everest"
"1985-05-12","Juanjo Navarro","Spain","Fall","Mount Everest"
"1985-09-19","Shinichi Ishii","Japan","Avalanche","Mount Everest"
"1985-10-07","Kiran Inder Kumar","India","Fall","Mount Everest"
"1985-10-11","Jai Bahugana","India","Exposure","Mount Everest"
"1985-10-11","Ranjeet Singh Bakshi","India","Exposure","Mount Everest"
"1985-10-11","Vijay Pal Singh Negi","India","Exposure","Mount Everest"
"1985-10-11","M.U. Bhaskar Rao","India","Exposure","Mount Everest"
"1986-08-16","Víctor Hugo Trujillo","Chile","Avalanche","Mount Everest"
"1986-09-28","Simon Burkhardt","Switzerland","Avalanche","Mount Everest"
"1986-10-04","Gyalu","Nepal","Crushed under serac","Mount Everest"
"1986-10-17","Dawa Norbu","Nepal","Avalanche","Mount Everest"
"1987-01-30","Tsuttin Dorje","Nepal","Fall","Mount Everest"
"1987-05-21","Roger Marshall","Canada","Disappearance (likely accidental death during descent)","Mount Everest"
"1987-09-02","Masao Yokoyama","Japan","Drowned","Mount Everest"
"1987-10-20","Mangal Singh","Nepal","Avalanche","Mount Everest"
"1988-04-21","Hidetaka Mizukoshi","Japan","Heart attack (at Base camp)","Mount Everest"
"1988-09-20","Michel Parmentier","France","Exposure","Mount Everest"
"1988-09-21","Narayan Shrestha","Nepal","Avalanche","Mount Everest"
"1988-10-13","Lhakpa Sonam","Nepal","Fall","Mount Everest"
"1988-10-13","Pasang Temba","Nepal","Fall","Mount Everest"
"1988-10-17","Dušan Becík","Czechoslovakia","Disappearance (likely accidental death during descent after reaching South Summit with Jozef Just rejoining group after he summited Everest solo)[76][77]","Mount Everest"
"1988-10-17","Peter Božík","Czechoslovakia","Disappearance (likely accidental death during descent after reaching South Summit with Jozef Just rejoining group after he summited Everest solo)[76][77]","Mount Everest"
"1988-10-17","Jaroslav Jaško","Czechoslovakia","Disappearance (likely accidental death during descent after reaching South Summit with Jozef Just rejoining group after he summited Everest solo)[76][77]","Mount Everest"
"1988-10-17","Jozef Just","Czechoslovakia","Disappearance (likely accidental death during descent after reaching South Summit with Jozef Just rejoining group after he summited Everest solo)[76][77]","Mount Everest"
"1988-12-23","Ang Lhakpa","Nepal","Cerebral thrombosis","Mount Everest"
"1989-05-10","Dimitar Ilievski-Murato","Yugoslavia","Fall","Mount Everest"
"1989-05-16","Phu Dorje","Nepal","Fall","Mount Everest"
"1989-05-27","Mirosław Dąsal","Poland","Avalanche","Mount Everest"
"1989-05-27","Mirosław Gardzielewski","Poland","Avalanche","Mount Everest"
"1989-05-27","Andrzej Heinrich","Poland","Avalanche","Mount Everest"
"1989-05-27","Wacław Otręba","Poland","Avalanche","Mount Everest"
"1989-05-28","Eugeniusz Chrobak","Poland","Avalanche injuries","Mount Everest"
"1989-12-12","Ang Pinjo","Nepal","Altitude sickness, heart attack","Mount Everest"
"1990-09-14","Rafael Gómez-Menor","Spain","Avalanche","Mount Everest"
"1990-09-14","Ang Sona","Nepal","Avalanche","Mount Everest"
"1990-09-14","Badri Nath","Nepal","Avalanche","Mount Everest"
"1990-10-07","Ham Sang-hun","South Korea","Disappearance (likely accidental death during climb)","Mount Everest"
"1991-05-03","Rüdiger Lang","Germany","Exposure","Mount Everest"
"1991-05-27","Junichi Futagami","Japan","Fall","Mount Everest"
"1992-05-02","Deepak Kulkarni","India","Exposure","Mount Everest"
"1992-05-02","Raymond Jacob","India","Exposure","Mount Everest"
"1992-05-11","Subba Singh","Nepal","Heart attack","Mount Everest"
"1992-05-23","Sher Singh","India","Fall","Mount Everest"
"1992-05-23","Manabu Hoshi","Japan","Disappearance (likely accidental death during climb)","Mount Everest"
"1993-01-15","Ang Tshering","Nepal","Fall","Mount Everest"
"1993-04-23","Pasang Lhamu Sherpa","Nepal","Disappearance (likely accidental death during climb)","Mount Everest"
"1993-04-23","Sonam Tshering","Nepal","Disappearance (likely accidental death during climb)","Mount Everest"
"1993-05-10","Lobsang Tshering Bhutia","Nepal","Fall","Mount Everest"
"1993-05-16","Nam Won-woo","South Korea","Fall","Mount Everest"
"1993-05-17","A Jin-seob","South Korea","Fall","Mount Everest"
"1993-10-05","Karl Henize","United States","HAPE","Mount Everest"
"1993-10-07","Antonio Miranda","Spain","Fall","Mount Everest"
"1994-04-06","Prem Thapa","Nepal","Cerebral oedema","Mount Everest"
"1994-05-09","Shih Fang-Fang 'Norman'","Taiwan","Exhaustion and/or exposure","Mount Everest"
"1994-05-18","Giuseppe Vigani","Italy","Fall","Mount Everest"
"1994-05-27","Mike Rheinberger","Australia","150m fall. He showed signs of exhaustion, dehydration, cerebral oedema, retinal hemorrhages and possible blood clots in his upper legs.","Mount Everest"
"1994-09-12","Mingma Norbu","Nepal","Avalanche","Mount Everest"
"1995-05-06","Kami Rita","Nepal","Fall","Mount Everest"
"1995-09-10","Lhakpa Nuru","Nepal","","Mount Everest"
"1995-10-14","Zangbu","Nepal","Fall","Mount Everest"
"1996-05-09","Chen Yu-Nan","Taiwan","Injuries from a fall","Mount Everest"
"1996-05-11","Scott Fischer","United States","Suspected HACE (high-altitude cerebral edema), exhaustion, frostbite and exposure.","Mount Everest"
"1996-05-11","Rob Hall","New Zealand","Exposure","Mount Everest"
"1996-05-11","Doug Hansen","United States","Exposure","Mount Everest"
"1996-05-11","Andrew Harris","New Zealand","Disappearance (likely accidental death during climb)","Mount Everest"
"1996-05-11","Yasuko Namba","Japan","Exposure","Mount Everest"
"1996-05-11","Dorje Morup","India","Exposure","Mount Everest"
"1996-05-11","Tsewang Paljor","India","Exposure","Mount Everest"
"1996-05-11","Tsewang Samanla","India","Exposure","Mount Everest"
"1996-05-19","Reinhard Wlasich","Austria","Altitude sickness","Mount Everest"
"1996-05-25","Bruce Herrod","United Kingdom","Rope accident","Mount Everest"
"1996-06-06","Ngawang Topche","Nepal","Lapsed into coma on 23 Apr 1996; later died in hospital","Mount Everest"
"1996-09-25","Yves Bouchon","France","Avalanche","Mount Everest"
"1996-09-25","Lopsang Jangbu","Nepal","Avalanche","Mount Everest"
"1996-09-25","Dawa","Nepal","Avalanche","Mount Everest"
"1997-04-23","Malcolm Duff","United Kingdom","Heart attack (at Base camp)","Mount Everest"
"1997-05-06","Nima Rinzi","United Kingdom","Fall","Mount Everest"
"1997-05-07","Aleksandr Torochin","Russia","Fall","Mount Everest"
"1997-05-07","Ivan Plotnikov","Russia","Exhaustion and/or exposure","Mount Everest"
"1997-05-07","Nikolai Chevtchenko","Russia","Exhaustion and/or exposure","Mount Everest"
"1997-05-07","Mingma","Nepal","Fall","Mount Everest"
"1997-05-08","Peter Andreas Kowalzik","Germany","Disappearance (likely accidental death during climb)","Mount Everest"
"1997-09-08","Tenzing Nuru","Nepal","Disappearance (likely accidental death during climb)","Mount Everest"
"1997-09-08","Choi Byong-soo","South Korea","Avalanche","Mount Everest"
"1998-05-24","Sergei Arsentiev","United States","100m fall","Mount Everest"
"1998-05-24","Francys Arsentiev","United States","Exposure and/or cerebral oedema","Mount Everest"
"1998-05-25","Mark Jennings","United Kingdom","Exhaustion","Mount Everest"
"1998-05-26","Roger Buick","New Zealand","Exhaustion","Mount Everest"
"1998-07-24","Shahid Abdul Khader","India","Died due to fall","Mount Everest"
"1999-05-08","Vasyl Kopytko","Ukraine","Exposure","Mount Everest"
"1999-05-13","Michael Matthews","United Kingdom","Disappearance (likely accidental death during descent)","Mount Everest"
"1999-05-18","Tadeusz Kudelski","Poland","Fall","Mount Everest"
"1999-05-18","Pascal Debrouwer","Belgium","Fall","Mount Everest"
"2000-05-20","Jeppe Stoltz","Denmark","Fall","Mount Everest"
"2000-05-21","Yan Genghua","China","Disappeared after reaching the north summit likely accidental death during descent","Mount Everest"
"2001-04-29","Babu Chiri Sherpa","Nepal","Fall","Mount Everest"
"2001-05-23","Peter Ganner","Austria","Fall","Mount Everest"
"2001-05-24","Mark Auricht","Australia","Cerebral oedema","Mount Everest"
"2001-05-24","Aleksei Nikiforov","Russia","Pre-existing illness exacerbated by freezing conditions, altitude","Mount Everest"
"2001-10-17","Sándor Gárdos","Hungary","Fall","Mount Everest"
"2002-04-30","Peter Legate","United Kingdom","Fall into a crevasse","Mount Everest"
"2002-05-17","Zoran Miletić","FR Yugoslavia","Exact cause and date of death unknown","Mount Everest"
"2002-09-08","Marco Siffredi","France","Snowboarding accident","Mount Everest"
"2003-05-27","Bhim Bahadur Gurung","Nepal","Fall into a crevasse","Mount Everest"
"2003-05-25","Jan Krzysztof Liszewski","Poland","Fall","Mount Everest"
"2003-05-08","Arnaud Saulnier","France","Sickness in tent","Mount Everest"
"2003-05-24","Karma Gyalzen Sherpa","Nepal","Altitude sickness","Mount Everest"
"2004-05-18","Joon-ho Baek","South Korea","Exposure","Mount Everest"
"2004-05-18","Min Jang","South Korea","Exposure","Mount Everest"
"2004-05-18","Mu-taek Park","South Korea","Exposure","Mount Everest"
"2004-05-18","Nils Antezana","United States Bolivia","Exposure","Mount Everest"
"2004-05-20","Hristo Ganchev Hristov","Bulgaria","Exposure","Mount Everest"
"2004-05-20","Shoko Ota","Japan","Exposure","Mount Everest"
"2004-05-23","Mariana Prodanova Maslarova","Bulgaria","Exposure","Mount Everest"
"2005-04-28","Sean Egan","Canada","Heart attack","Mount Everest"
"2005-05-02","Michael Corey O'Brien[119]","United States","Fall into a crevasse","Mount Everest"
"2005-05-21","Marko Lihteneker","Slovenia","Oxygen problems which resulted in fall","Mount Everest"
"2005-05-30","Sirigereshiva Shankarappa Chaitanya","India","Exposure","Mount Everest"
"2005-06-04","Dieter Kramer","Germany","Exposure","Mount Everest"
"2005-06-05","Robert William Milne","United Kingdom","Organ failure due to freezing conditions","Mount Everest"
"2006-04-07","Tuk Bahadur Thapa Magar Sherpa","Nepal","Altitude","Mount Everest"
"2006-04-21","Ang Phinjo Sherpa","Nepal","Avalanche","Mount Everest"
"2006-04-21","Lhakpa Tseri","Nepal","Avalanche","Mount Everest"
"2006-04-21","Dawa Temba","Nepal","Avalanche","Mount Everest"
"2006-05-17","Jacques-Hugues Letrange","France","Exhaustion","Mount Everest"
"2006-05-14","Srikrishna","India","Fall","Mount Everest"
"2006-05-15","David Sharp","United Kingdom","Exposure and/or exhaustion","Mount Everest"
"2006-05-16","Tomas Olsson","Sweden","Fall","Mount Everest"
"2006-05-19","Vitor Negrete","Brazil","Exposure and/or exhaustion","Mount Everest"
"2006-05-22","Igor Plyushkin","Russia","Altitude sickness","Mount Everest"
"2006-05-25","Thomas Weber","Germany","Altitude sickness","Mount Everest"
"2007-04-26","Dawa Sherpa","Nepal","","Mount Everest"
"2007-05-17","Shinichi Ishii","Japan","","Mount Everest"
"2007-05-17","Libor Kozák","Czech Republic","","Mount Everest"
"2007-05-16","Yoshitomi Okura","Japan","Altitude sickness","Mount Everest"
"2007-05-17","Maurizio Pierangelo","Italy","Disappearance","Mount Everest"
"2007-05-17","Oh Hee-joon","South Korea","","Mount Everest"
"2007-05-17","Lee Hyun-jo","South Korea","Avalanche","Mount Everest"
"2008-05-22","Uwe Gianni Goltz","Switzerland","Exhaustion","Mount Everest"
"2009-05-07","Lhakpa Nuru","Nepal","Avalanche","Mount Everest"
"2009-05-18","Věslav Chrzaszcz","Czech Republic","Heart attack","Mount Everest"
"2009-05-19","Wenhong Wu","China","Altitude sickness","Mount Everest"
"2009-05-21","Frank Ziebarth","Canada","Hypothermia and lack of oxygen","Mount Everest"
"2010-04-26","László Várkonyi","Hungary","Avalanche crevasse fall","Mount Everest"
"2010-05-19","Tom Jørgensen","Denmark","HACE","Mount Everest"
"2010-05-26","Peter Kinloch","United Kingdom","Exhaustion","Mount Everest"
"2011-05-01","Rick Hitch","United States","Heart attack","Mount Everest"
"2011-05-09","Shailendra Kumar Upadhyaya","Nepal","Altitude sickness","Mount Everest"
"2011-05-12","Takashi Ozaki","Japan","Altitude sickness","Mount Everest"
"2011-05-21","John Delaney","Ireland","Altitude sickness","Mount Everest"
"2011-09-15","Hiroaki Kino","Japan","Cerebral apoplexy","Mount Everest"
"2012-04-05","Dawa Tenzing","Nepal","Stroke (CVA)","Mount Everest"
"2012-04-19","Karsang Namgyal Sherpa","Nepal","Altitude sickness","Mount Everest"
"2012-04-20","Ramesh Gulve","India","Stroke","Mount Everest"
"2012-04-21","Namgyal Tshering Sherpa","Nepal","Fall into a crevasse","Mount Everest"
"2012-05-19","Shriya Shah-Klorfine","Canada","Exhaustion","Mount Everest"
"2012-05-19","Eberhard Schaaf","Germany","Cerebral oedema","Mount Everest"
"2012-05-19","Song Won-bin","South Korea","Fall","Mount Everest"
"2012-05-20","Ha Wenyi","China","Suspected altitude sickness","Mount Everest"
"2012-05-20","Juan José Polo Carbayo","Spain","Exhaustion","Mount Everest"
"2012-05-20","Milan Sedláček","Czech","Disappearance (likely accidental death during descent)","Mount Everest"
"2012-05-20","Ralf D. Arnold","Germany","Exhaustion and related complications after breaking leg at Second Step","Mount Everest"
"2013-04-07","Mingma Sherpa","Nepal","Falling into a crevasse","Mount Everest"
"2013-05-05","DaRita Sherpa","Nepal","Suspected cardiac arrest","Mount Everest"
"2013-05-05","Sergey Ponomarev","Russia","Suspected cardiac arrest","Mount Everest"
"2013-05-07","Lobsang Sherpa","Nepal","Fall","Mount Everest"
"2013-05-15","Alexey Bolotov","Russia","Fall","Mount Everest"
"2013-05-17","Namgyal Sherpa","Nepal","","Mount Everest"
"2013-05-21","Seo Sung-ho","South Korea","Suspected altitude sickness","Mount Everest"
"2013-05-21","Sajal Khaled (Mohammed Khaled Hossain)","Bangladesh","Suspected altitude sickness","Mount Everest"
"2013-05-22","Unknown climber","Nepal","Suspected altitude sickness","Mount Everest"
"2014-04-02","Mingma Tenzing Sherpa","Nepal","HAPE","Mount Everest"
"2014-04-18","Mingma Nuru Sherpa","Nepal","2014 Mount Everest Avalanche","Mount Everest"
"2014-04-18","Dorji Sherpa","Nepal","2014 Mount Everest Avalanche","Mount Everest"
"2014-04-18","Ang Tshiri Sherpa","Nepal","2014 Mount Everest Avalanche","Mount Everest"
"2014-04-18","Nima Sherpa","Nepal","2014 Mount Everest Avalanche","Mount Everest"
"2014-04-18","Tenzing Chottar Sherpa","Nepal","2014 Mount Everest Avalanche","Mount Everest"
"2014-04-18","Phurba Ongyal Sherpa","Nepal","2014 Mount Everest Avalanche","Mount Everest"
"2014-04-18","Lapka Tenjing Sherpa","Nepal","2014 Mount Everest Avalanche","Mount Everest"
"2014-04-18","Chhiring Ongchu Sherpa","Nepal","2014 Mount Everest Avalanche","Mount Everest"
"2014-04-18","Dorjee Khatri","Nepal","2014 Mount Everest Avalanche","Mount Everest"
"2014-04-18","Then Dorjee Sherpa","Nepal","2014 Mount Everest Avalanche","Mount Everest"
"2014-04-18","Phur Temba Sherpa","Nepal","2014 Mount Everest Avalanche","Mount Everest"
"2014-04-18","Pasang Karma Sherpa","Nepal","2014 Mount Everest Avalanche","Mount Everest"
"2014-04-18","Ankaji Sherpa","Nepal","2014 Mount Everest Avalanche","Mount Everest"
"2014-04-18","PemTenji Sherpa","Nepal","2014 Mount Everest Avalanche","Mount Everest"
"2014-04-18","Aash Bahadur Gurung","Nepal","2014 Mount Everest Avalanche","Mount Everest"
"2015-04-25","Daniel Paul Fredinburg","United States","Base Camp avalanche following the April 2015 Nepal earthquake","Mount Everest"
"2015-04-25","Marisa Eve Girawong","United States","Base Camp avalanche following the April 2015 Nepal earthquake","Mount Everest"
"2015-04-25","Thomas Ely Taplin","United States","Base Camp avalanche following the April 2015 Nepal earthquake","Mount Everest"
"2015-04-25","Pemba Sherpa","Nepal","Base Camp avalanche following the April 2015 Nepal earthquake","Mount Everest"
"2015-04-25","Dawa Tsering Sherpa","Nepal","Base Camp avalanche following the April 2015 Nepal earthquake","Mount Everest"
"2015-04-25","Maila (Milan) Rai","Nepal","Base Camp avalanche following the April 2015 Nepal earthquake","Mount Everest"
"2015-04-25","Chhimi Dawa Sherpa","Nepal","Base Camp avalanche following the April 2015 Nepal earthquake","Mount Everest"
"2015-04-25","Pema Yishi (Hissi) Sherpa","Nepal","Base Camp avalanche following the April 2015 Nepal earthquake","Mount Everest"
"2015-04-25","Pasang Temba Sherpa","Nepal","Base Camp avalanche following the April 2015 Nepal earthquake","Mount Everest"
"2015-04-25","Krishna Kumar Rai","Nepal","Base Camp avalanche following the April 2015 Nepal earthquake","Mount Everest"
"2015-04-25","Tenzing (Tengien) Bhote","Nepal","Base Camp avalanche following the April 2015 Nepal earthquake","Mount Everest"
"2015-04-25","Renu Fotedar","Australia  India","Base Camp avalanche following the April 2015 Nepal earthquake","Mount Everest"
"2015-04-25","Lhakpa Chhiring Sherpa","Nepal","Base Camp avalanche following the April 2015 Nepal earthquake","Mount Everest"
"2015-04-25","Vinh B Truong","United States  Vietnam","Base Camp avalanche following the April 2015 Nepal earthquake","Mount Everest"
"2015-04-25","Shiva Kumar Shrestha","Nepal","Base Camp avalanche following the April 2015 Nepal earthquake","Mount Everest"
"2015-04-25","Unnamed","","Base Camp avalanche following the April 2015 Nepal earthquake","Mount Everest"
"2015-05-01","Jangbu Sherpa","Nepal","Died in Kathmandu due to injuries sustained in the Base Camp avalanche following the April 2015 Nepal earthquake","Mount Everest"
"2016-05-11","Charles MacAdams","Canada","Cardiac event","Mount Everest"
"2016-05-19","Ang Phurba Sherpa","Nepal","Fall","Mount Everest"
"2016-05-21","Eric Arnold","Netherlands","Altitude sickness","Mount Everest"
"2016-05-22","Marisa Elizabeth Strydom","Australia  South Africa","Snow blindness, stroke","Mount Everest"
"2016-05-22","Subhash Pal","India","Altitude sickness","Mount Everest"
"2016-05-22","Paresh Chandra Nath","India","Exposure","Mount Everest"
"2016-05-22","Goutam Ghosh","India","Exposure","Mount Everest"
"2017-05-05","Min Bahadur Sherchan","Nepal","Heart Attack","Mount Everest"
"2017-05-20","Roland Yearwood","United States","Altitude sickness","Mount Everest"
"2017-05-21","Vladimír Štrba","Slovakia","Altitude sickness","Mount Everest"
"2017-05-21","Francesco Enrico Marchetti","Australia","Altitude sickness","Mount Everest"
"2017-05-21","Ravi Kumar","India","Fall into a 200m crevasse","Mount Everest"
"2018-05-14","Lam Babu Sherpa","Nepal","Disappearance (reportedly suffered from snow blindness)","Mount Everest"
"2018-05-18","Pasang Norbu Sherpa","Nepal","Stroke","Mount Everest"
"2018-05-20","Gjeorgi Petkov","North Macedonia","Cardiac arrest","Mount Everest"
"2018-05-21","Nobukazu Kuriki","Japan","Hypothermia, had previously reported ""persistent cough and pain"" during attempt","Mount Everest"
"2018-05-21","Damai Sarki Sherpa","Nepal","Fall into a crevasse, was rescued but died of head injury","Mount Everest"
"2019-05-16","Séamus (Shay) Lawless","Ireland","Presumed dead after fall","Mount Everest"
"2019-05-17","Ravi Thakar","India","Altitude sickness","Mount Everest"
"2019-05-22","Donald Cash","United States","Altitude sickness","Mount Everest"
"2019-05-23","Nihal Bagwan","India","Exhaustion on descent","Mount Everest"
"2019-05-23","Ernst Landgraf","Austria","Exhaustion on descent","Mount Everest"
"2019-05-23","Anjali S Kulkarni","India","Exhaustion on descent","Mount Everest"
"2019-05-23","Kalpana Dash","India","Exhaustion on descent","Mount Everest"
"2019-05-24","Kevin Hynes","Ireland","Altitude sickness","Mount Everest"
"2019-05-24","Dhruba Bista","Nepal","Exhaustion and altitude sickness","Mount Everest"
"2019-05-25","Robin Haynes Fisher","United Kingdom","Exhaustion during descent","Mount Everest"
"2019-05-27","Christopher Jon Kulish","United States","Cardiac event during descent","Mount Everest"
"2021-05-12","Puwei Liu","United States","Exhaustion, snow blindness","Mount Everest"
"2021-05-12","Abdul Waraich","Switzerland","Exhaustion","Mount Everest"
"2021-05-18","Pemba Tashi Sherpa","Nepal","Fall into a crevasse","Mount Everest"
"2021-05-23","Wong Dorchi Sherpa","Nepal","Fall into a crevasse","Mount Everest"
"2022-04-14","Ngima Tenji Sherpa","Nepal","Exhaustion and collapse","Mount Everest"
"2022-05-07","Pavel Kostrikin","Russia","Altitude sickness at Camp II, returned to Camp I","Mount Everest"
"2022-05-12","Dipak Mahat","Nepal","Altitude sickness and excessive bleeding","Mount Everest"
"2023-04-12","Lakpa Rita Sherpa","Nepal","Serac Collapse","Mount Everest"
"2023-04-12","Pemba Tenzing Sherpa","Nepal","Serac Collapse","Mount Everest"
"2023-04-12","Da Chhiree Sherpa","Nepal","Serac Collapse","Mount Everest"
"2023-05-01","Jonathan Sugarman","United States","Illness","Mount Everest"
"2023-05-16","Phurba Sherpa","Nepal","Illness","Mount Everest"
"2023-05-17","Victor Brinza","Moldova","Illness","Mount Everest"
"2023-05-18","Suzanne Leopoldina Jesus","India","Illness","Mount Everest"
"2023-05-18","Xuebin Chen","China","Fall","Mount Everest"
"2023-05-19","Ag Askandar Bin Ampuan Yaacub","Malaysia","Illness","Mount Everest"
